Region,Infected,Dead,Recovered
Hubei,27110,780,1440
guangdong,1120,1,125
Zhejiang,1075,0,185
Henan,1033,6,131
Hunan,838,1,159
Anhui,779,1,59
Jiangjxi,740,0,72
Jiangsu,468,0,58
Chongquing,446,2,39
Shandog,435,1,50
Sichuan,386,1,50
Beijing,326,2,37
Heilongjang,307,6,13
Shanghai,292,1,41
Fujian,250,0,26
Shaanxi,208,0,25
Hebei,206,2,30
Guangxi,195,1,18
Yunnan,140,0,17
Hainan,128,2,15
Shanxi,115,0,21
Liaoning,105,0,8
Guizhou,96,1,7
Tianjin,90,1,4
Japan,90,0,1
Gansu,79,1,12
Jilin,78,1,5
Mongolia,54,0,5
Xinjiang,45,0,0
Ningxia,45,0,13
Singapore,40,0,2
Thailand,32,0,10
HongKong,26,1,0
SouthKorea,25,0,3
Qinghai,18,0,3
Taiwan,17,0,1
Malyasia,16,0,1
UndisclodeLocation ,14,0,0
Vietnam,13,0,1
Germany,13,0,0
Macau,10,0,1
UAE,7,0,0
Paris,5,0,0
Queensland,5,0,0
Haute,5,0,0
Victoria,4,0,0
NSW,4,0,2
Colombia,4,0,0
Italy,3,0,0
UK,3,0,0
Kerela,3,0,0
Philipines,3,1,0
SouthAus,2,0,0
Toronto,2,0,0
Chicago,2,0,0
SanBenito,2,0,0
Russia,2,0,0
Madison,1,0,0
Belgium,1,0,0
London,1,0,0
Boston,1,0,0
Spain,1,0,0
Swden,1,0,0
Cambodia,1,0,0
SriLanka,1,0,0
Seatlle,1,0,0
Orange,1,0,0
Bordeaux,1,0,0
Tempe,1,0,0
Finland,1,0,0
Nepal,1,0,0
LosaAngeles,1,0,0
